benchmark,model,variant,accuracy,MAE,detector,FPR95,ID_DAE,OOD_DAE
CIFAR10,wrn_40_2,NT,94.73,11.175±18.64,Mahalanobis+ODIN,33.25334459355078,14.968±20.136,12.251±21.134
CIFAR10,wrn_40_2,NT,94.73,11.175±18.64,Mahalanobis,33.734306930183216,14.737±20.085,13.324±21.58
CIFAR10,wrn_40_2,NT,94.73,11.175±18.64,EnergyBased,36.14117840921965,9.532±16.022,19.557±26.231
CIFAR10,wrn_40_2,NT,94.73,11.175±18.64,MSP,52.78123937917753,8.645±13.104,33.529±26.764
CIFAR10,wrn_40_2,DA,95.26,9.525±17.825,DICE,36.49443340164989,9.188±16.206,15.643±23.554
CIFAR10,wrn_40_2,DA,95.26,9.525±17.825,EnergyBased,37.03615971657209,8.971±15.961,15.799±23.572
CIFAR10,wrn_40_2,DA,95.26,9.525±17.825,MaxLogit,37.159747469025824,8.913±15.683,16.337±23.764
CIFAR10,wrn_40_2,DA,95.26,9.525±17.825,MSP,54.95638382236321,7.261±12.114,31.99±26.421
CIFAR10,wrn_40_2,AT,95.08,2.54±7.882,EnergyBased,39.54808078519419,3.752±10.95,13.148±20.925
CIFAR10,wrn_40_2,AT,95.08,2.54±7.882,MaxLogit,40.03213281563797,3.52±10.168,13.738±20.984
CIFAR10,wrn_40_2,AT,95.08,2.54±7.882,DICE,41.19488758664016,3.656±10.513,13.571±21.261
CIFAR10,wrn_40_2,AT,95.08,2.54±7.882,MSP,52.889378662574536,3.185±8.183,27.034±24.819
CIFAR10,wrn_40_2,PAT,84.95,7.433±17.501,DICE,64.2192858687704,4.027±10.811,18.279±25.149
CIFAR10,wrn_40_2,PAT,84.95,7.433±17.501,MaxLogit,64.31094678517358,4.318±11.79,18.551±24.593
CIFAR10,wrn_40_2,PAT,84.95,7.433±17.501,EnergyBased,65.40675819026335,3.687±10.325,17.887±24.681
CIFAR10,wrn_40_2,PAT,84.95,7.433±17.501,MSP,75.14341328774319,2.957±7.931,34.622±27.928
CIFAR10,resnet50,NT,94.84,8.127±19.475,ViM,26.485885248771844,10.012±20.741,9.878±19.027
CIFAR10,resnet50,NT,94.84,8.127±19.475,DICE,26.801034017528863,8.837±18.913,12.105±24.184
CIFAR10,resnet50,NT,94.84,8.127±19.475,EnergyBased,27.26860768097881,8.72±18.814,12.546±24.544
CIFAR10,resnet50,NT,94.84,8.127±19.475,MSP,50.495895856720594,6.942±14.147,26.525±25.817
CIFAR10,resnet50,DA,96.38,2.797±11.902,EnergyBased,16.985076778891212,4.747±15.496,4.053±12.432
CIFAR10,resnet50,DA,96.38,2.797±11.902,DICE,17.064378920049023,4.725±15.376,3.916±12.124
CIFAR10,resnet50,DA,96.38,2.797±11.902,MaxLogit,17.252850242540966,4.753±15.445,4.112±12.314
CIFAR10,resnet50,DA,96.38,2.797±11.902,MSP,38.02486173620194,3.911±12.898,14.496±20.074
CIFAR10,resnet50,AT,86.83999999999999,4.946±13.997,ViM,57.74740723194331,5.027±14.076,13.306±25.368
CIFAR10,resnet50,AT,86.83999999999999,4.946±13.997,ODIN,59.40348311482332,3.17±10.99,12.715±21.309
CIFAR10,resnet50,AT,86.83999999999999,4.946±13.997,MaxLogit,59.92564136894034,3.217±11.168,13.029±21.688
CIFAR10,resnet50,AT,86.83999999999999,4.946±13.997,MSP,70.01967105059889,2.929±10.389,22.185±26.805
CIFAR10,resnet50,PAT,82.41000000000001,7.223±16.992,MaxLogit,66.69825020340484,3.933±11.913,20.025±26.456
CIFAR10,resnet50,PAT,82.41000000000001,7.223±16.992,ODIN,67.34296631203847,3.849±11.695,20.07±26.511
CIFAR10,resnet50,PAT,82.41000000000001,7.223±16.992,SHE,68.76525536319352,3.619±11.131,20.011±26.621
CIFAR10,resnet50,PAT,82.41000000000001,7.223±16.992,MSP,73.78600780662636,3.41±9.994,30.407±29.847
Imagenet100,resnet50,NT,88.77551020408163,14.809±28.838,SHE,33.921852955008625,12.583±26.732,3.177±11.419
Imagenet100,resnet50,NT,88.77551020408163,14.809±28.838,ODIN,37.89191095783038,13.025±27.01,5.848±15.341
Imagenet100,resnet50,NT,88.77551020408163,14.809±28.838,DICE,41.23491142812353,13.297±27.408,5.733±15.72
